Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
TheCollegeFever,Brand Marketing,Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018-01-01
Happy Cow Dairy,Agriculture,Seed,40000000,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018-01-01
MyLoanCare,Credit,Series A,65000000,Gurgaon,Leading Online Loans Marketplace in India,2018-01-01
PayMe India,Financial Services,Angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018-01-01
Eunimart,E-Commerce,Seed,3000000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018-01-01
Hasura,Cloud Infrastructure,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018-01-01
Tripshelf,Internet,Seed,16000000,Kalkaji,Tripshelf is an online market place for holiday packages.,2018-01-01
Hyperdata.IO,Market Research,Angel,50000000,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018-01-01
Freightwalla,Information Services,Seed,3000000,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018-01-01
Microchip Payments,Mobile Payments,Seed,3000000,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018-01-01
BizCrum Infotech Pvt. Ltd.,B2B,Seed,3000000,Delhi,Building Transactionary B2B Marketplaces,2018-01-01
Emojifi,Internet,Seed,3000000,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018-01-01
Flock,Apps,Seed,3000000,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018-01-01
Freshboxx,Food Industry,Seed,3000000,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018-01-01
Wide Mobility Mechatronics,Industrial Automation,Seed,3000000,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018-01-01
Pitstop,Automotive,Seed,100000000,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018-01-01
Mihuru,Finance,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018-01-01
Fyle,Accounting,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018-01-01
AppWharf,Artificial Intelligence,Seed,3000000,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018-01-01
Antariksh Waste Ventures Pvt ltd,Internet Of Things,Seed,500000,Chennai,Waste Management for Smart Cities,2018-01-01
Cogoport,Air Transportation,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018-01-01
PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform,2018-01-01
Sleepy Owl Coffee,Food And Beverage,Seed,35000000,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018-01-01
BlueJack,Autonomous Vehicles,Seed,64000000,Delhi,Delhi-based online used vehicles marketplace.,2018-01-01
PregBuddy,Enterprise Software,Seed,3000000,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018-01-01
AgNext Technologies,Agriculture,Series A,3000000,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018-01-01
Pando,Logistics,Seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018-01-01
Mintifi,Financial Services,Seed,2000000,Mumbai,Online lending startup based in Mumbai.,2018-01-01
Carcrew,Automotive,Seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2018-01-01
NicheAI,Artificial Intelligence,Angel,3000000,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018-01-01
Chariot Tech,Internet Of Things,Seed,20000000,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018-01-01
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018-01-01
Loanzen,Financial Services,Seed,3000000,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018-01-01
Mojro Technologies,Information Technology,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018-01-01
Elemential,Blockchain,Seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018-01-01
Loadshare,Industrial Automation,Series A,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,2018-01-01
Yumlane,Food And Beverage,Series A,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018-01-01
Kriger Campus,Education,Seed,30000000,New Delhi,A Education Start Up.,2018-01-01
Pipa+Bella,E-Commerce,Series A,1000000,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018-01-01
Kaleidofin,Financial Services,Seed,2800000,Chennai,A fintech platform.,2018-01-01
Chakr Innovation,Renewable Energy,Seed,3000000,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018-01-01
IndigoLearn,E-Learning,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018-01-01
